agent,agent_version,row_key,displayed_accuracy,displayed_stderr,tasks,counted_trials,successes,recomputed_accuracy_per_task_mean,recomputed_stderr,pooled_accuracy,tasks_with_lt2_trials,accuracy_matches_1e12,stderr_matches_1e9
AbacusAI,1.106.24701,"abacus ai desktop__claude haiku 4.5,gemini 3 pro",0.5842696629213483,0.014033703367187412,89,445,260,0.5842696629213483,0.014033703367187412,0.5842696629213483,0,True,True
Factory Droid,unknown,droid__claude opus 4.5,0.6314606741573033,0.013761178330242574,89,445,281,0.6314606741573034,0.013761178330242572,0.6314606741573033,0,True,True
Factory Droid,unknown,droid__claude opus 4.6,0.698876404494382,0.012612328270024521,89,445,311,0.698876404494382,0.012612328270024523,0.698876404494382,0,True,True
Factory Droid,unknown,droid__gemini 3 pro,0.6112359550561798,0.0142124838659253,89,445,272,0.6112359550561798,0.0142124838659253,0.6112359550561798,0,True,True
Factory Droid,unknown,droid__gpt-5.2,0.6494382022471911,0.014123376505591612,89,444,289,0.649438202247191,0.01412337650559161,0.6509009009009009,0,True,True
Factory Droid,unknown,droid__gpt-5.3-codex,0.7730337078651686,0.011008942664194058,89,445,344,0.7730337078651686,0.011008942664194058,0.7730337078651686,0,True,True
IndusAGICodingAgent,unknown,indusagi coding agent__gpt-5.3-codex,0.6913857677902622,0.011628595278097396,89,381,261,0.6913857677902622,0.011628595278097396,0.6850393700787402,0,True,True
IndusAGICodingAgent,unknown,indusagi coding agent__minimax m2.7,0.45056179775280897,,89,340,153,0.450561797752809,,0.45,1,True,False
Junie,507.2,"junie cli__claude opus 4.6,gemini 3 flash,gemini 3.1 pro,gpt-5.3-codex",0.7101123595505618,0.014649893045399211,89,445,316,0.7101123595505618,0.014649893045399211,0.7101123595505618,0,True,True
Junie,507.2,junie cli__gemini 3 flash,0.6426966292134831,0.0142124838659253,89,445,286,0.6426966292134831,0.0142124838659253,0.6426966292134831,0,True,True
Lemoncode-agent,1.0.0,"lemonharness__gemini 3.1 pro preview,gpt-5.3 codex",0.799250936329588,0.015451424228266867,89,437,349,0.7992509363295881,0.015451424228266866,0.7986270022883295,0,True,True
Lemoncode-agent,1.0.0,"lemonharness__gemini 3.1 pro preview,gpt-5.3-codex",0.8449438202247191,0.013103262685045618,89,445,376,0.8449438202247191,0.013103262685045618,0.8449438202247191,0,True,True
TerminalBenchAgent,1.0,camel-ai__claude sonnet 4.5,0.4651685393258427,0.011996717137113833,89,445,207,0.4651685393258427,0.011996717137113833,0.4651685393258427,0,True,True
ante,unknown,ante__gemini 3 pro,0.6942571785268414,0.010656438118788164,89,887,616,0.6942571785268414,0.010656438118788166,0.6944757609921083,0,True,True
aone-agent,1.18.72-pre,dakou agent__qwen 3 coder 480b,0.27191011235955054,0.013103262685045618,89,442,121,0.27191011235955054,0.013103262685045618,0.2737556561085973,0,True,True
capy-build,unknown,capy__claude opus 4.6,0.7528089887640449,0.01220537133842721,89,445,335,0.7528089887640449,0.012205371338427208,0.7528089887640449,0,True,True
capy-build,unknown,capy__gpt-5.5,0.8314606741573034,0.01077714949059038,89,445,370,0.8314606741573034,0.01077714949059038,0.8314606741573034,0,True,True
cchuter,unknown,cchuter__minimax-m2.5,0.42696629213483145,0.014410961054360292,89,442,188,0.42696629213483145,0.014410961054360292,0.4253393665158371,0,True,True
claude-code-enhanced,unknown,crux__claude opus 4.6,0.6687265917602996,,89,398,263,0.6687265917602996,,0.6608040201005025,2,True,False
claude-code,2.0.31,claude code__claude haiku 4.5,0.2752808988764045,0.014160572715662595,89,438,121,0.2752808988764045,0.014160572715662595,0.2762557077625571,0,True,True
claude-code,2.0.31,claude code__claude opus 4.1,0.34831460674157305,0.014792822215828838,89,437,152,0.34831460674157305,0.014792822215828838,0.34782608695652173,0,True,True
claude-code,2.0.31,claude code__claude sonnet 4.5,0.400561797752809,0.014874384600981715,89,437,173,0.400561797752809,0.014874384600981715,0.39588100686498856,0,True,True
claude-code,2.0.72,claude code__claude opus 4.5,0.5213483146067416,0.012909129542782087,89,445,232,0.5213483146067416,0.012909129542782087,0.5213483146067416,0,True,True
claude-code,2.1.34,claude code__claude opus 4.6,0.5797752808988764,0.014821242649744854,89,445,258,0.5797752808988764,0.014821242649744852,0.5797752808988764,0,True,True
claude-code,unknown,crux__glm 4.7,0.3325842696629214,0.01251183002883151,89,445,148,0.3325842696629214,0.01251183002883151,0.3325842696629214,0,True,True
claude-code,unknown,crux__minimax m2.1,0.36629213483146067,0.014735816908543822,89,445,163,0.36629213483146067,0.014735816908543822,0.36629213483146067,0,True,True
claude-wozcode-plugin,unknown,wozcode__claude opus 4.7,0.802247191011236,0.01077714949059038,89,445,357,0.802247191011236,0.01077714949059038,0.802247191011236,0,True,True
clnkr,0.3.11,clnkr__gpt-5.5,0.6606741573033708,0.012712032021331192,89,445,294,0.6606741573033708,0.012712032021331192,0.6606741573033708,0,True,True
codelia,unknown,codelia__gpt-5.3-codex,0.7573033707865169,0.011008942664194058,89,445,337,0.7573033707865169,0.011008942664194058,0.7573033707865169,0,True,True
codex,0.121.0,codex cli__gpt-5.5,0.8224719101123595,0.0113477583577102,89,445,366,0.8224719101123595,0.011347758357710201,0.8224719101123595,0,True,True
codex,0.53.0,codex cli__gpt-5-codex,0.44325842696629214,0.01380316233061452,89,436,193,0.44325842696629214,0.013803162330614517,0.4426605504587156,0,True,True
codex,0.53.0,codex cli__gpt-5-mini,0.3185393258426966,0.015299751534052615,89,437,138,0.3185393258426966,0.015299751534052615,0.3157894736842105,0,True,True
