submission_folder,job,started_at,n_total_trials,trial_directories,named_in_stats,pending,running,n_retries,n_errored
0error-Ledger__Claude-Opus-4.7,tbench-2.1-k5-v01,2026-05-12T05:22:13.731557,445,445,445,0,0,0,215
Ante__Gemini-3-Pro-Preview,2025-12-31__22-36-36,2025-12-31T22:36:36.454602,445,445,445,0,0,0,0
Ante__Gemini-3.1-Pro-Preview,2026-02-20__19-31-44,2026-02-20T19:31:45.114308,445,445,445,0,0,0,0
BashAgent__TermiGen-32B,qwen_claude_5,2026-03-17T07:22:04.530852,445,445,445,0,0,0,0
Capy__Claude-Opus-4.6,eval-terminal-bench-2-0-anthropic-claude-opus-4-6-2550be0a-1773212093281,2026-03-11T06:56:29.947804,89,89,89,0,0,0,0
Capy__Claude-Opus-4.6,eval-terminal-bench-2-0-anthropic-claude-opus-4-6-ae1eef84-1773189792834,2026-03-11T00:44:51.807425,29,89,29,0,0,0,0
Capy__Claude-Opus-4.6,eval-terminal-bench-2-0-anthropic-claude-opus-4-6-b5a5edf0-1773245492872,2026-03-11T16:13:55.713272,89,89,89,0,0,0,0
Capy__Claude-Opus-4.6,eval-terminal-bench-2-0-anthropic-claude-opus-4-6-e4c20869-1773208202009,2026-03-11T05:51:36.313512,89,89,89,0,0,0,0
Capy__Claude-Opus-4.6,eval-terminal-bench-2-0-anthropic-claude-opus-4-6-f67d7dea-1773208226179,2026-03-11T05:52:23.017500,89,89,89,0,0,0,0
Capy__GPT-5.5,eval-terminal-bench-2-0-gpt-5-5-7c56da63-1777349417783,2026-04-28T04:11:54.041425,89,89,89,0,0,0,0
Capy__GPT-5.5,eval-terminal-bench-2-0-gpt-5-5-8eb9f930-1777342655208,2026-04-28T02:19:10.959766,89,89,89,0,0,0,0
Capy__GPT-5.5,eval-terminal-bench-2-0-gpt-5-5-969914d5-1777349417757,2026-04-28T04:12:13.352207,89,89,89,0,0,0,0
Capy__GPT-5.5,eval-terminal-bench-2-0-gpt-5-5-a3c01e29-1777400580464,2026-04-28T18:24:58.545786,89,89,89,0,0,0,0
